Event,Station,Distance,SNR,SNR_denoise
2006-07-15T18:58:43.000Z,PKME,159.31653295686547,-1.0383882102483792,-16.549514881916668
2006-09-07T22:18:38.000Z,PKME,151.74744991316356,-1.8634935642106554,-20.86638824587678
2006-09-21T18:02:25.000Z,PKME,151.33772909556225,-1.4200742513622497,-12.617192051499174
2006-12-20T16:25:45.000Z,PQI,65.19475719756333,9.368920279298239,9.036992017592743
2007-01-31T18:54:48.000Z,EMMW,47.041634000349426,0.8315908558996675,-2.654115654334258
2007-01-31T18:54:48.000Z,PKME,157.75495366535498,1.321787022908859,1.5507053008077587
2007-02-14T20:02:58.000Z,PQI,29.593360522410652,4.120839811217391,0.8360511348086069
2007-03-14T11:59:48.000Z,EMMW,131.70404423615722,0.9515780946495185,-0.07075191986946573
2007-03-19T21:51:13.000Z,PQI,21.55424298641731,11.98854977632898,19.95476162082123
2007-03-23T05:56:46.000Z,PQI,153.19900637042966,-2.814542560451411,-14.195172831669964
2007-05-08T17:06:00.000Z,PQI,163.6054404311298,-1.525493833726375,-6.11697724620043
2007-06-29T10:38:15.000Z,PQI,32.40761892515284,24.605166730201763,26.425795199016306
2007-10-11T22:22:50.000Z,EMMW,152.33755159931047,1.1010593880501045,7.854313358766532
2007-10-11T22:22:50.000Z,PQI,127.83154483021278,0.12638251436787065,-5.355977391977285
2007-12-20T19:30:55.000Z,EMMW,133.67058526434408,0.12203267943363193,-9.822684059702008
2008-02-06T15:09:56.000Z,EMMW,165.8342968121949,-0.37517075600315875,-27.904001575723246
2008-04-04T16:58:12.000Z,EMMW,58.74834776713892,1.976864962675019,0.05015651810846089
2008-05-13T06:09:11.000Z,PKME,166.19594912010353,0.6089688611076186,-23.000181988854973
2008-05-13T06:09:11.000Z,PQI,32.36216844952089,3.1356672298143367,12.775021589706865
2008-10-07T19:55:58.000Z,EMMW,122.63347554528887,-0.41631574957704043,-0.9968193134331301
2008-11-24T22:29:51.000Z,PQI,153.10922631903176,-9.412108884590578,-16.736621432533582
2008-12-04T12:04:30.000Z,PQI,72.50954720243897,-6.753112533754947,-11.585156765595073
2009-01-07T20:50:49.000Z,PQI,165.50667068114674,0.5315852960655442,-5.044277448416017
2009-01-22T13:58:23.000Z,EMMW,58.965872599075446,0.169437928630456,1.5615516728085712
2009-01-22T13:58:23.000Z,PKME,165.791481512043,0.0018687200646195778,-27.364719574686717
2009-04-27T12:58:56.000Z,PQI,4.4815839436402385,27.092922335944326,30.230770394288555
2009-05-12T15:58:47.000Z,EMMW,55.861354901620665,10.336042392385691,11.41167209742465
2009-06-12T17:44:08.000Z,PQI,164.4763275538709,1.7800460105495786,1.2600438510867347
2009-07-01T21:43:12.000Z,PQI,123.46660157049251,-6.358327299420966,-9.513884440175097
2009-07-02T12:31:10.000Z,PQI,65.84564057992938,6.444828622639258,6.081930487038641
2009-11-02T20:29:57.000Z,EMMW,58.718556563275094,5.321643626827423,7.370239770098565
2009-11-03T21:10:18.000Z,EMMW,120.05297825058427,-0.13519089082791277,-10.277202109239184
2009-11-05T21:09:26.000Z,EMMW,122.09855439966769,0.7253520680244926,-12.873749675983094
2009-11-13T21:05:38.000Z,EMMW,123.39883941248765,0.46021874421582787,-3.926761855057343
2009-11-14T15:55:26.000Z,EMMW,28.884439826439127,1.0449603685495443,-3.76148649052989
2009-11-27T16:48:39.000Z,PQI,161.83074401647136,-1.5941461679621993,-13.417833013882522
2009-12-01T22:07:11.000Z,PQI,106.44606532039305,-0.931554933695019,-1.8940555647784585
2010-01-10T17:30:17.000Z,ICQ,89.50630208962532,2.0715162010446906,-6.109712264848567
2010-01-15T17:35:50.000Z,ICQ,90.27370711106134,2.367115397456178,0.5231323737483695
2010-01-15T19:17:08.000Z,BATG,100.98715439768692,-2.748149272421996,-4.290001795189327
2010-01-15T19:17:08.000Z,PQI,160.22163063773257,1.162162472467371,1.8245158557917318
2010-01-21T20:51:03.000Z,ICQ,56.109487020672454,-0.4087807229595814,-22.825070924761604
2010-01-25T20:24:52.000Z,ICQ,110.93689922376463,-0.44827436063528986,2.2422721777385575
2010-01-28T17:58:02.000Z,ICQ,89.37965602437258,2.2250681287732164,11.453312450487266
2010-02-02T21:31:58.000Z,ICQ,50.01911495373403,0.23152150440424765,2.8292933895798345
2010-02-16T17:02:32.000Z,ICQ,90.89825435024646,0.9596388054368697,-1.6876995800902697
2010-02-17T14:27:36.000Z,A64,28.110063366073053,2.448638301384448,18.779818116935775
2010-02-17T14:27:36.000Z,A11,53.57163504320208,-0.5210035127898706,-17.716989564864694
2010-02-17T14:27:36.000Z,A61,11.256175888645933,8.21097094700847,24.856247679617933
2010-02-17T14:27:36.000Z,BSPQ,37.39759011550331,2.10755549071942,-2.890104485053179
2010-02-17T14:27:36.000Z,A16,33.11686367169166,0.9038699427272704,4.774874133463185
2010-02-17T14:27:36.000Z,A54,32.610911435916556,-0.7436383832173076,15.91597324028114
2010-02-17T14:27:36.000Z,LMQ,20.69256025242383,3.0293064742069475,16.223699180676878
2010-02-17T14:27:36.000Z,BCLQ,113.43068951046646,-0.13351881236149463,-5.97304769281592
2010-02-17T19:54:43.000Z,A64,27.79554336076155,5.747640599538833,18.289381591263318
2010-02-17T19:54:43.000Z,A11,55.94846729013976,-0.23180683752999864,17.27223733848373
2010-02-17T19:54:43.000Z,A61,12.701334367595319,15.755621415760961,23.517010154549933
2010-02-17T19:54:43.000Z,BSPQ,39.080204549334205,1.5848174946311995,7.102515485172812
2010-02-17T19:54:43.000Z,A16,35.44581071919807,0.3748244824971761,17.441410756403005
